"subgroup","contrast","estimate","se","df","lower","upper","p"
"HTN","Yes - No",0.0776622764404862,0.531244088973285,175.038857323717,-0.970806057321707,1.12613061020268,0.883940064625615
"DM","Yes - No",-0.128543213148377,0.474426519782658,194.238606305777,-1.06423202021157,0.807145593914811,0.78672149676193
"other_ascvd","Yes - No",-0.539545849172279,0.487766760598158,177.759353758784,-1.50210437165149,0.423012673306929,0.270154017120479
"PAD","Yes - No",-1.03631493762976,1.30834200447661,192.67797473599,-3.61682652717178,1.54419665191226,0.429286612744313
"Af","Yes - No",-0.450399169483338,0.712918254330874,200.784581329973,-1.85616654474308,0.955368205776408,0.528256918767341
"HR_tertiles","(60-100) - <60",-1.01415469281685,0.627943663370137,245.127968952955,-2.25100830383446,0.222698918200758,0.192729075977465
"HR_tertiles",">100 - <60",-0.20680857670802,1.28726631866668,327.459723039807,-2.73916373568638,2.32554658227034,0.973151792029898
