"subgroup","contrast","estimate","se","df","lower","upper","p"
"HTN","Yes - No",-0.784277380448267,1.10502740383474,156.112955707334,-2.96701186133832,1.39845710044178,0.478926798183496
"DM","Yes - No",0.742082468894255,0.91141783457611,217.674693726578,-1.05425103122465,2.53841596901316,0.416416389167463
"other_ascvd","Yes - No",-1.03625586154753,1.01248562785891,156.513314642959,-3.03615480180731,0.963643078712255,0.307661614922184
"PAD","Yes - No",-5.84077552009378,2.65530796841706,161.429262118318,-11.0843935951711,-0.597157445016455,0.0292523017013705
"Af","Yes - No",2.2251761403572,1.42038230687586,165.415879534403,-0.579239410511144,5.02959169122555,0.119118371192858
"HR_tertiles","(60-100) - <60",1.71808404772691,1.00327715757209,485.308534121256,-0.253219283824314,3.68938737927814,0.158727119678181
"HR_tertiles",">100 - <60",1.3964429716383,1.77844340122241,628.083927077008,-2.09597196183302,4.88885790510961,0.643694213745691
