"subgroup","contrast","estimate","se","df","lower","upper","p"
"HTN","Yes - No",-0.99328006357855,0.728544055060004,155.418183102656,-2.4324061481258,0.445846020968704,0.174735493848402
"DM","Yes - No",-1.52048591284679,0.627497207165501,188.648936805148,-2.75829865889951,-0.282673166794071,0.0163334886506538
"other_ascvd","Yes - No",0.331662352930621,0.667853605012802,155.883862815679,-0.987548212928213,1.65087291878945,0.620164138783305
"PAD","Yes - No",5.07245271833103,1.76291534007094,162.957870439022,1.59134995233954,8.55355548432253,0.00454827444723754
"Af","Yes - No",-0.0964939541784371,0.948205887313256,169.651232162172,-1.96829580401041,1.77530789565353,0.919063566806503
"HR_binary",">=100 - <100",2.95059562943244,1.28105864031898,475.031278003771,0.433353265665916,5.46783799319896,0.0216959740204248
