"subgroup","contrast","estimate","se","df","lower","upper","p"
"HTN","Yes - No",-0.993280063570898,0.728544055045416,155.418183128927,-2.43240614808743,0.445846020945631,0.174735493842789
"DM","Yes - No",-1.52048591287904,0.627497207184303,188.648936730481,-2.75829865897202,-0.282673166786072,0.0163334886519554
"other_ascvd","Yes - No",0.331662352935816,0.667853604990292,155.883862847348,-0.987548212876457,1.65087291874809,0.62016413876591
"PAD","Yes - No",5.07245271832529,1.76291534012689,162.957870407502,1.59134995221828,8.55355548443229,0.00454827444864106
"Af","Yes - No",-0.0964939541591846,0.948205887334887,169.651232215113,-1.96829580402966,1.77530789571129,0.919063566824398
"HR_tertiles","(60-100) - <60",-0.318908721402746,0.749944060411676,311.628497869044,-1.79450287772008,1.15668543491459,0.863296305467484
"HR_tertiles",">100 - <60",2.69680226575004,1.41345820861255,462.409164064817,-0.0807949949482016,5.47439952644828,0.105678731703597
